comarca_id,comarca_nome,comarca_nome_tjsp,cj_id
3529708,Miguelópolis,Miguelópolis,40
3529906,Miracatu,Miracatu,21
3530102,Mirandópolis,Mirandópolis,37
3530201,Mirante do Paranapanema,Mirante do Paranapanema,28
3530300,Mirassol,Mirassol,16
3530508,Mococa,Mococa,43
3530706,Mogi Guaçu,Mogi Guaçu,7
3530805,Mogi Mirim,Mogi Mirim,7
3530607,Mogi das Cruzes,Mogi das Cruzes,45
3531100,Mongaguá,Mongaguá,56
3531308,Monte Alto,Monte Alto,42
3531407,Monte Aprazível,Monte Aprazível,16
3531506,Monte Azul Paulista,Monte Azul Paulista,14
3531803,Monte Mor,Monte Mor,34
3531902,Morro Agudo,Morro Agudo,39
3532405,Nazaré Paulista,Nazaré Paulista,6
3532504,Neves Paulista,Neves Paulista,16
3532603,Nhandeara,Nhandeara,17
3533007,Nova Granada,Nova Granada,16
3533403,Nova Odessa,Nova Odessa,53
3533502,Novo Horizonte,Novo Horizonte,15
3533601,Nuporanga,Nuporanga,39
3533908,Olímpia,Olímpia,14
3534302,Orlândia,Orlândia,39
3534401,Osasco,Osasco,4
3534609,Osvaldo Cruz,Osvaldo Cruz,30
3534708,Ourinhos,Ourinhos,25
3534757,Ouroeste,Ouroeste,18
3534906,Pacaembu,Pacaembu,29
3535002,Palestina,Palestina,16
3535200,Palmeira d'Oeste,Palmeira d'Oeste,55
3535309,Palmital,Palmital,26
3535408,Panorama,Panorama,29
3535507,Paraguaçu Paulista,Paraguaçu Paulista,26
3535606,Paraibuna,Paraibuna,46
3535804,Paranapanema,Paranapanema,24
3536208,Pariquera-Açu,Pariquera-Açu,21
3536307,Patrocínio Paulista,Patrocínio Paulista,38
3536505,Paulínia,Paulínia,8
3536604,Paulo de Faria,Paulo de Faria,16
3536703,Pederneiras,Pederneiras,33
3537008,Pedregulho,Pedregulho,38
3537107,Pedreira,Pedreira,54
3537305,Penápolis,Penápolis,36
3537404,Pereira Barreto,Pereira Barreto,37
3537602,Peruíbe,Peruíbe,56
3537800,Piedade,Piedade,19
3537909,Pilar do Sul,Pilar do Sul,19
3538006,Pindamonhangaba,Pindamonhangaba,47
3538204,Pinhalzinho,Pinhalzinho,6
3538501,Piquete,Piquete,48
3538600,Piracaia,Piracaia,6
3538709,Piracicaba,Piracicaba,34
3538808,Piraju,Piraju,25
3538907,Pirajuí,Pirajuí,32
3539004,Pirangi,Pirangi,42
3539202,Pirapozinho,Pirapozinho,27
3539301,Pirassununga,Pirassununga,11
3539400,Piratininga,Piratininga,32
3539509,Pitangueiras,Pitangueiras,42
3539806,Poá,Poá,45
3540002,Pompéia,Pompéia,31
3540200,Pontal,Pontal,41
3540507,Porangaba,Porangaba,22
3540606,Porto Feliz,Porto Feliz,20
3540705,Porto Ferreira,Porto Ferreira,11
3540804,Potirendaba,Potirendaba,16
3541000,Praia Grande,Praia Grande,1
3541208,Presidente Bernardes,Presidente Bernardes,27
3541307,Presidente Epitácio,Presidente Epitácio,28
3541406,Presidente Prudente,Presidente Prudente,27
3541505,Presidente Venceslau,Presidente Venceslau,28
3541604,Promissão,Promissão,35
3541703,Quatá,Quatá,26
3541901,Queluz,Queluz,48
3542206,Rancharia,Rancharia,27
3542404,Regente Feijó,Regente Feijó,27
3542602,Registro,Registro,21
3542909,Ribeirão Bonito,Ribeirão Bonito,12
3543303,Ribeirão Pires,Ribeirão Pires,3
3543402,Ribeirão Preto,Ribeirão Preto,41
3543907,Rio Claro,Rio Claro,9
3544103,Rio Grande da Serra,Rio Grande da Serra,3
3544004,Rio das Pedras,Rio das Pedras,34
3544251,Rosana,Rosana,28
3544301,Roseira,Roseira,48
3545001,Salesópolis,Salesópolis,46
3545209,Salto,Salto,20
3545308,Salto de Pirapora,Salto de Pirapora,19
3545605,Santa Adélia,Santa Adélia,15
3545803,Santa Bárbara d'Oeste,Santa Bárbara d'Oeste,53
3546009,Santa Branca,Santa Branca,46
3546306,Santa Cruz das Palmeiras,Santa Cruz das Palmeiras,43
3546405,Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo,25
3546603,Santa Fé do Sul,Santa Fé do Sul,55
3546801,Santa Isabel,Santa Isabel,44
3547502,Santa Rita do Passa Quatro,Santa Rita do Passa Quatro,11
3547601,Santa Rosa de Viterbo,Santa Rosa de Viterbo,41
3547304,Santana de Parnaíba,Santana de Parnaíba,4
3547700,Santo Anastácio,Santo Anastácio,28
3547809,Santo André,Santo André,3
3548500,Santos,Santos,1
3548609,São Bento do Sapucaí,São Bento do Sapucaí,47
3548708,São Bernardo do Campo,São Bernardo do Campo,2
3548807,São Caetano do Sul,São Caetano do Sul,3
3548906,São Carlos,São Carlos,12
3549409,São Joaquim da Barra,São Joaquim da Barra,40
3549102,São João da Boa Vista,São João da Boa Vista,50
3549706,São José do Rio Pardo,São José do Rio Pardo,43
3549805,São José do Rio Preto,São José do Rio Preto,16
3549904,São José dos Campos,São José dos Campos,46
3550001,São Luiz do Paraitinga,São Luiz do Paraitinga,47
3550100,São Manuel,São Manuel,23
3550209,São Miguel Arcanjo,São Miguel Arcanjo,22
3550308,São Paulo,São Paulo,0
3550407,São Pedro,São Pedro,34
3550605,São Roque,São Roque,19
3550704,São Sebastião,São Sebastião,51
3550803,São Sebastião da Grama,São Sebastião da Grama,43
3550902,São Simão,São Simão,41
3551009,São Vicente,São Vicente,1
3551603,Serra Negra,Serra Negra,54
3551504,Serrana,Serrana,41
3551702,Sertãozinho,Sertãozinho,41
3552106,Socorro,Socorro,54
3552205,Sorocaba,Sorocaba,19
3552403,Sumaré,Sumaré,53
3552502,Suzano,Suzano,45
3552601,Tabapuã,Tabapuã,15
3552809,Taboão da Serra,Taboão da Serra,52
3553302,Tambaú,Tambaú,43
3553401,Tanabi,Tanabi,16
3553708,Taquaritinga,Taquaritinga,42
3553807,Taquarituba,Taquarituba,24
3554003,Tatuí,Tatuí,22
3554102,Taubaté,Taubaté,47
3554300,Teodoro Sampaio,Teodoro Sampaio,28
3554508,Tietê,Tietê,34
3554805,Tremembé,Tremembé,47
3555000,Tupã,Tupã,30
3555109,Tupi Paulista,Tupi Paulista,29
3555406,Ubatuba,Ubatuba,51
3555802,Urânia,Urânia,55
3556008,Urupês,Urupês,15
3556206,Valinhos,Valinhos,8
3556305,Valparaíso,Valparaíso,36
3556453,Vargem Grande Paulista,Vargem Grande Paulista,52
3556404,Vargem Grande do Sul,Vargem Grande do Sul,50
3556503,Várzea Paulista,Várzea Paulista,5
3556701,Vinhedo,Vinhedo,5
3556800,Viradouro,Viradouro,14
3557006,Votorantim,Votorantim,19
3557105,Votuporanga,Votuporanga,17
